"Questão","Resposta","Resposta correta","Detalhes"
"#993Leia o texto a seguir e responda:[...]","Somente as alternativas I, II e III.","Somente as alternativas I, II e III.","| 10% | 20:46"
"#994Todos os processos de ensino e aprendizagem da educação a distância são planejados e executados, levando em consideração as competências e habilidades necessárias à área de atuação do curso. Consequentemente, para a realização do planejamento e a execução da educação a distância, faz-se necessário o envolvimento de uma equipe de profissionais capacitados para excelência de todos os processos educacionais.  Correlacione a primeira coluna que aponta alguns dos profissionais da EaD com a segunda coluna que traz o conceito específico de cada profissional.","...","","| 10% | 20:46"
"↳ I. Tutor","Acompanha o aluno a distância ao longo do curso, através do ambiente virtual de aprendizagem, tirando dúvidas acerca dos conteúdos, alertando quanto à realização das atividades, executando as correções das situações de aprendizagem e reportando as notas e os feedbacks de desempenho do aluno.","Acompanha o aluno a distância ao longo do curso, através do ambiente virtual de aprendizagem, tirando dúvidas acerca dos conteúdos, alertando quanto à realização das atividades, executando as correções das situações de aprendizagem e reportando as notas e os feedbacks de desempenho do aluno.",""
"↳ II. Monitor","Este profissional é responsável por auxiliar os alunos nas dúvidas administrativas e no uso das tecnologias disponíveis.","Este profissional é responsável por auxiliar os alunos nas dúvidas administrativas e no uso das tecnologias disponíveis.",""
"↳ III. Coordenador Técnico","Garante a qualidade técnica na oferta dos cursos. Executa a análise técnica dos materiais e conteúdos disponibilizados aos alunos, auxilia o desenvolvimento de atividades práticas e a distância.","Garante a qualidade técnica na oferta dos cursos. Executa a análise técnica dos materiais e conteúdos disponibilizados aos alunos, auxilia o desenvolvimento de atividades práticas e a distância.",""
"↳ IV. Coordenador Pedagógico","Assegura a atuação dos monitores e instrutores na prática da linguagem pedagógica.","Assegura a atuação dos monitores e instrutores na prática da linguagem pedagógica.",""
"↳ V. Instrutor Presencial / Docente","Atua nas unidades operacionais, escolas ou polos, diretamente nos momentos presenciais obrigatórios, conforme carga horária e o plano de curso específico.","Atua nas unidades operacionais, escolas ou polos, diretamente nos momentos presenciais obrigatórios, conforme carga horária e o plano de curso específico.",""
"#995O ambiente virtual de aprendizagem (AVA) faz o papel da sala de aula do estudante de educação a distância (EaD). Os AVA’s  fornecem aos participantes ferramentas a serem utilizadas durante um curso, para facilitar o compartilhamento de materiais de estudo, manter discussões, coletar e revisar tarefas, registrar notas, promover a interação entre outras funcionalidades”. (RIBEIRO, et all, 2007). A respeito do ambiente virtual de aprendizagem, complete as afirmativas a seguir.","...","","| 10% | 20:46"
"↳ plano de estudos","é um documento norteador para que o aluno possa planejar como será sua dinâmica de estudos.","é um documento norteador para que o aluno possa planejar como será sua dinâmica de estudos.",""
"↳ fóruns","são espaços destinados para troca de informação e construção de conhecimento com discussão de um determinado tema ou situação.","são espaços destinados para troca de informação e construção de conhecimento com discussão de um determinado tema ou situação.",""
"↳ situações de aprendizagem","são atividades/ tarefas e ou avaliações disponíveis para que os alunos possam testar os conhecimentos adquiridos ao longo de seus estudos.","são atividades/ tarefas e ou avaliações disponíveis para que os alunos possam testar os conhecimentos adquiridos ao longo de seus estudos.",""
"↳ livros didáticos","podem ser disponibilizados aos alunos no formato impresso ou a partir do acesso em sites e/ou bibliotecas virtuais educacionais","podem ser disponibilizados aos alunos no formato impresso ou a partir do acesso em sites e/ou bibliotecas virtuais educacionais",""
"↳ material interativo","também conhecido como scorm, trata-se de um material que aborda os principais conceitos explorados acerca do curso ou disciplina e que são essenciais para resolução da situação de aprendizagem.","também conhecido como scorm, trata-se de um material que aborda os principais conceitos explorados acerca do curso ou disciplina e que são essenciais para resolução da situação de aprendizagem.",""
"#996Para que um estudante possa realizar um curso de educação a distância com êxito, é necessário que o mesmo desenvolva algumas competências que favorecerão seu desempenho e sua evolução ao longo do curso. Correlacione as competências de um estudante EaD com seus respectivos conceitos apresentados e, logo após, marque a alternativa correta.","...","","| 10% | 20:46"
"↳ Autonomia","significa ser governado por si mesmo. É o oposto de heteronomia, que significa que uma pessoa é governada por outra pessoa.","significa ser governado por si mesmo. É o oposto de heteronomia, que significa que uma pessoa é governada por outra pessoa.",""
"↳ Planejamento","baseado no estabelecimento de prioridades, metas e objetivos. Em educação, consideram-se também as condições necessárias para criar situações e aplicar estratégias de aprendizagem.","baseado no estabelecimento de prioridades, metas e objetivos. Em educação, consideram-se também as condições necessárias para criar situações e aplicar estratégias de aprendizagem.",""
"↳ Flexibilidade","consegue lidar com diferentes necessidades, examinando e interpretando as possibilidades de ações, bem como mudanças de opinião e atitudes.","consegue lidar com diferentes necessidades, examinando e interpretando as possibilidades de ações, bem como mudanças de opinião e atitudes.",""
"↳ Autoavaliação","trata-se de compreensão acerca do desenvolvimento do próprio processo de aprendizagem, a fim de colaborar ou avaliar as atividades propostas.","trata-se de compreensão acerca do desenvolvimento do próprio processo de aprendizagem, a fim de colaborar ou avaliar as atividades propostas.",""
"↳ Trabalho em equipe","contempla as relações intra e interpessoal, as quais permitem ao sujeito expressar e comunicar, de modo adequado, seus sentimentos, desejos, opiniões e expectativas.","contempla as relações intra e interpessoal, as quais permitem ao sujeito expressar e comunicar, de modo adequado, seus sentimentos, desejos, opiniões e expectativas.",""
"#997Conhecer a forma de aprendizagem, ou seja, o estilo de aprendizagem é fundamental para que o estudante EaD possa planejar e desenvolver sua rotina de estudo. Dentre os estilos de aprendizagem, destacam-se os estilos: visual, auditivo, leitor e sinestésico. A seguir, são apresentados os significados de cada um dos estilos de aprendizagem mencionados. Faça uma análise, identificando as opções verdadeiras ou falsas e, logo após, assinale a alternativa correta.[...]","V, F, F, V","V, F, F, V","| 10% | 20:46"
"#998A organização é uma ação exigida em todo processo de aprendizagem do estudante de educação a distância. Sem organização, o aluno de EaD, inevitavelmente, não conseguirá desenvolver com eficiência seu curso e alcançar as competências e habilidades necessárias para sua atuação no mercado de trabalho. Acerca dos itens que favorecem uma efetiva organização, assinale a alternativa correta.","O estudante de EaD necessita de um ambiente calmo, tranquilo e de uma mesa convidativa que favoreça seu aprendizado.","O estudante de EaD necessita de um ambiente calmo, tranquilo e de uma mesa convidativa que favoreça seu aprendizado.","| 10% | 20:46"
"#999No decorrer do curso, ou seja, na fase de execução do curso, o estudante EaD precisa realizar ações que favoreçam de sobremaneira seu desempenho. Nessa fase, algumas técnicas são importantes para prática dos estudantes. Diante desse contexto, analise algumas das técnicas de EaD que devem ser utilizadas pelo estudante e, a seguir, aponte as verdadeiras.[...]","Somente as alternativas I, III e IV.","Somente as alternativas I, III e IV.","| 10% | 20:46"
"#1000O estudante de educação a distância precisa ter controle e direção de seus estudos, no sentindo de garantir sua aprendizagem ao longo do curso. Desse modo, avaliar e, sobretudo, autoavaliar as capacidades e competências que devem ser melhoradas, desenvolvidas e que favorecem o crescimento são ações primordiais e que, certeiramente, garantem a formação profissional de acordo com as exigências do mercado de trabalho. Acerca do processo de autoavaliação que é capaz de garantir o controle e a direção dos estudos de um estudante de EaD, assinale a alternativa correta.","Os feedbacks realizados pelos tutores nas correções das atividades dos estudantes são ferramentas que podem ser utilizadas pelos estudantes para realização da autoavaliação de seu aprendizado.","Os feedbacks realizados pelos tutores nas correções das atividades dos estudantes são ferramentas que podem ser utilizadas pelos estudantes para realização da autoavaliação de seu aprendizado.","| 10% | 20:46"
"#1001A fase de execução é o momento em que o estudante coloca em prática as técnicas que favorecerão sua aprendizagem. Levando em consideração algumas das técnicas de educação a distância, correlacione a primeira coluna com a segunda e, logo em seguida, assinale a alternativa correta.[...]","IV, I, V, II, III","IV, I, V, II, III","| 10% | 20:46"
"#1002A conquista pela certificação e finalização de um curso é anseio de todos os estudantes que buscam a aprendizagem. Ao finalizar um curso de educação a distância, o estudante deve realizar a pesquisa de satisfação ou o instrumento de satisfação do estudante e, logo após, solicitar sua certificação. Levando em consideração essas duas ações, analise as questões a seguir e, em seguida, aponte as alternativas corretas.[...]","Todas as alternativas estão corretas.","Somente as alternativas I, II e III estão corretas.","| 10% | 20:46"